,C. sp X1,C. sp X2,C. sp X3,C. sp X4,C. sp X5,C. sp X6,C. sp X7,C. sp X8,C. sp X9,descriptions
PF05658,0,0,1,0,1,0,0,1,0,Head domain of trimeric autotransporter adhesin
PF05661,0,2,2,0,6,0,1,2,0,Protein of unknown function (DUF808)
PF05669,0,1,0,1,1,1,1,0,0,SOH1
PF05670,1,1,1,2,3,1,2,2,2,NFACT protein RNA binding domain
PF05673,0,0,2,0,4,0,0,0,1,Protein of unknown function (DUF815)
PF05676,1,1,1,1,1,1,1,1,1,NADH-ubiquinone oxidoreductase B18 subunit (NDUFB7)
PF05680,1,0,0,0,0,1,0,1,0,ATP synthase E chain
PF05681,0,0,2,0,5,0,0,1,0,Fumarate hydratase (Fumerase)
PF05683,0,0,2,0,5,0,0,1,0,Fumarase C-terminus
PF05685,0,1,29,0,71,0,6,12,93,Putative restriction endonuclease
PF05686,2,2,2,2,2,2,2,2,2,Glycosyl transferase family 90
PF05690,0,4,2,0,6,0,1,4,1,Thiazole biosynthesis protein ThiG
PF05693,1,1,1,1,1,1,1,1,1,Glycogen synthase
PF05694,0,0,0,0,0,0,0,0,1,56kDa selenium binding protein (SBP56)
PF05697,0,4,5,0,7,0,1,3,3,Bacterial trigger factor protein (TF)
PF05698,0,4,5,0,8,0,1,3,3,Bacterial trigger factor protein (TF) C-terminus
PF05700,1,1,1,1,1,1,1,1,1,Breast carcinoma amplified sequence 2 (BCAS2)
PF05704,0,1,0,0,0,0,0,0,0,Capsular polysaccharide synthesis protein
PF05705,1,1,1,1,1,1,1,1,1,Eukaryotic protein of unknown function (DUF829)
PF05706,0,0,0,0,1,0,0,0,0,Cyclin-dependent kinase inhibitor 3 (CDKN3)
PF05711,0,0,0,0,1,0,0,0,0,Macrocin-O-methyltransferase (TylF)
PF05712,1,1,1,1,1,1,1,1,1,MRG
PF05719,1,6,1,1,1,1,1,1,2,Golgi phosphoprotein 3 (GPP34)
PF05721,4,7,13,3,20,3,3,7,11,Phytanoyl-CoA dioxygenase (PhyH)
PF05724,2,5,2,2,2,2,2,1,3,Thiopurine S-methyltransferase (TPMT)
PF05726,1,1,3,1,8,1,2,3,1,Pirin C-terminal cupin domain
PF05729,24,27,31,23,29,19,25,30,24,NACHT domain
PF05730,10,11,12,11,9,10,10,11,10,CFEM domain
PF05739,4,5,5,5,5,5,5,5,5,SNARE domain
PF05742,1,1,1,1,3,1,1,1,1,Transport and Golgi organisation 2
PF05743,1,1,1,0,1,0,1,1,1,UEV domain
PF05746,2,5,7,1,13,1,3,6,3,DALR anticodon binding domain
PF05762,0,4,6,0,9,0,0,1,0,VWA domain containing CoxE-like protein
PF05764,1,1,1,1,1,1,1,1,1,YL1 nuclear protein
PF05768,0,1,1,0,0,0,0,0,1,Glutaredoxin-like domain (DUF836)
PF05773,4,4,4,4,4,4,4,4,4,RWD domain
PF05783,1,1,1,0,1,1,1,1,1,Dynein light intermediate chain (DLIC)
PF05786,1,1,1,1,1,1,1,1,1,Condensin complex subunit 2
PF05787,0,6,3,0,6,0,1,4,2,Bacterial protein of unknown function (DUF839)
PF05794,2,2,2,2,2,2,2,2,2,T-complex protein 11
PF05808,0,0,0,0,0,0,0,0,1,Podoplanin
PF05816,0,1,1,0,3,0,1,3,1,Toxic anion resistance protein (TelA)
PF05832,1,1,1,1,1,1,1,1,1,Eukaryotic protein of unknown function (DUF846)
PF05833,1,1,1,1,2,1,1,1,2,Fibronectin-binding protein A N-terminus (FbpA)
PF05834,0,1,4,0,2,0,1,2,2,Lycopene cyclase protein
PF05838,0,0,2,0,3,0,1,3,0,Glycosyl hydrolase 108
PF05839,1,1,0,1,1,1,1,0,1,Apc13p protein
PF05840,0,0,0,0,1,0,0,0,0,Bacteriophage replication gene A protein (GPA)
PF05841,1,1,0,1,1,1,1,0,1,Apc15p protein
PF05843,1,1,1,1,1,1,1,1,1,Suppressor of forked protein (Suf)
PF05845,0,1,1,0,4,0,0,1,0,Bacterial phosphonate metabolism protein (PhnH)
PF05853,0,0,8,0,17,0,0,3,0,beta-keto acid cleavage enzyme
PF05856,1,1,1,1,1,1,1,1,1,ARP2/3 complex 20 kDa subunit (ARPC4)
PF05857,0,0,0,0,0,0,0,1,0,TraX protein
PF05859,1,1,1,1,1,1,1,1,1,Mis12 protein
PF05860,0,0,1,0,5,0,1,0,17,haemagglutination activity domain
PF05861,0,1,1,0,4,0,0,1,0,Bacterial phosphonate metabolism protein (PhnI)
PF05866,0,1,1,0,3,0,1,0,0,Endodeoxyribonuclease RusA
PF05871,1,1,1,1,1,1,1,1,1,ESCRT-II complex subunit
PF05872,0,0,0,0,3,0,0,0,0,Bacterial protein of unknown function (DUF853)
PF05873,1,1,1,1,1,1,1,1,1,"ATP synthase D chain, mitochondrial (ATP5H)"
PF05875,2,1,2,2,1,1,2,2,1,Ceramidase
PF05876,0,0,0,0,1,0,0,0,0,Phage terminase large subunit (GpA)
PF05879,1,1,1,1,1,1,1,1,1,Root hair defective 3 GTP-binding protein (RHD3)
PF05890,1,1,1,1,1,1,1,1,1,Eukaryotic rRNA processing protein EBP2
PF05891,2,2,2,2,1,2,2,2,3,AdoMet dependent proline di-methyltransferase
PF05899,0,0,4,0,6,0,0,1,2,Protein of unknown function (DUF861)
PF05901,0,4,5,0,1,0,1,1,3,Excalibur calcium-binding domain
PF05903,2,2,2,2,2,2,2,2,2,PPPDE putative peptidase domain
PF05907,1,1,0,1,1,1,1,0,0,Eukaryotic protein of unknown function (DUF866)
PF05916,4,4,3,4,3,4,3,4,3,GINS complex protein
PF05920,1,1,1,1,1,1,1,1,1,Homeobox KN domain
PF05922,1,3,1,1,1,2,1,1,1,Peptidase inhibitor I9
PF05930,0,0,0,0,1,0,0,0,0,Prophage CP4-57 regulatory protein (AlpA)
PF05935,0,2,4,0,0,0,0,0,0,Arylsulfotransferase (ASST)
PF05936,0,0,0,0,2,0,0,0,0,"Bacterial Type VI secretion, VC_A0110, EvfL, ImpJ, VasE "
PF05943,0,0,0,0,4,0,0,0,0,"Type VI secretion protein, EvpB/VC_A0108, tail sheath"
PF05947,0,0,0,0,2,0,0,0,0,"Type VI secretion system, TssF"
PF05949,0,3,3,0,0,0,0,0,4,Bacterial protein of unknown function (DUF881)
PF05951,0,0,2,0,7,0,0,0,0,Bacterial protein of unknown function (DUF882)
PF05954,0,0,0,0,3,0,0,0,0,Phage late control gene D protein (GPD)
PF05957,0,0,0,0,1,0,0,0,0,Bacterial protein of unknown function (DUF883)
PF05960,0,1,7,0,3,0,4,9,3,Bacterial protein of unknown function (DUF885)
PF05962,0,0,0,0,1,0,0,0,0,HutD
PF05971,1,1,1,1,1,0,1,1,0,RNA methyltransferase
PF05973,0,0,2,0,4,0,2,2,0,Phage derived protein Gp49-like (DUF891)
PF05974,0,2,4,0,27,0,8,8,0,Domain of unknown function (DUF892)
PF05977,0,20,18,0,13,0,1,6,15,Transmembrane secretion effector
PF05978,1,1,1,1,2,1,1,2,2,Ion channel regulatory protein UNC-93
PF05981,0,0,1,0,4,0,0,1,0,CreA protein
PF05982,0,0,0,0,2,0,0,0,1,Na+-dependent bicarbonate transporter superfamily
PF05983,1,1,1,1,1,1,1,1,1,MED7 protein
PF05985,0,0,0,0,1,0,0,0,0,Ethanolamine ammonia-lyase light chain (EutC)
PF05987,0,0,0,0,2,0,0,1,0,Bacterial protein of unknown function (DUF898)
PF05988,0,2,0,0,1,0,0,0,0,Bacterial protein of unknown function (DUF899)
PF05990,0,0,0,0,2,0,0,0,0,Alpha/beta hydrolase of unknown function (DUF900)
PF05991,0,0,1,0,0,0,0,0,0,YacP-like NYN domain
PF05992,0,0,3,0,12,0,0,2,1,SbmA/BacA-like family
PF05995,1,1,1,0,1,0,1,1,0,Cysteine dioxygenase type I
PF05997,0,0,0,0,1,0,0,0,1,"Nucleolar protein,Nop52"
PF06003,0,0,0,0,0,0,0,1,1,Survival motor neuron protein (SMN)
PF06007,0,1,1,0,4,0,0,1,0,Phosphonate metabolism protein PhnJ
PF06011,4,4,4,4,4,4,4,4,4,Transient receptor potential (TRP) ion channel
PF06012,1,1,1,1,1,1,1,1,1,Domain of Unknown Function (DUF908)
PF06013,0,3,1,0,0,0,0,0,3,Proteins of 100 residues with WXG
PF06017,1,1,1,1,1,1,1,1,1,"Unconventional myosin tail, actin- and lipid-binding"
PF06025,1,1,1,1,1,1,1,1,1,Domain of Unknown Function (DUF913)
PF06026,1,1,2,1,6,1,2,2,2,Ribose 5-phosphate isomerase A (phosphoriboisomerase A)
PF06027,1,1,1,1,1,1,1,1,1,Solute carrier family 35
PF06029,0,2,1,0,0,0,0,0,1,AlkA N-terminal domain
PF06032,0,0,1,0,1,0,0,0,0,Protein of unknown function (DUF917)
PF06039,0,2,1,0,0,0,0,0,0,Malate:quinone oxidoreductase (Mqo)
PF06041,2,1,2,1,2,1,1,1,1,Bacterial protein of unknown function (DUF924)
PF06042,0,0,0,0,2,0,0,1,0,Nucleotidyltransferase
PF06046,1,1,1,1,1,1,1,1,1,Exocyst complex component Sec6
PF06048,0,0,0,0,1,0,0,0,0,Domain of unknown function (DUF927)
PF06051,0,0,1,0,5,0,0,0,3,Domain of Unknown Function (DUF928)
PF06052,1,1,1,1,1,1,1,1,1,3-hydroxyanthranilic acid dioxygenase
PF06055,0,1,0,0,7,0,1,0,0,"Exopolysaccharide synthesis, ExoD"
PF06056,0,1,1,0,0,0,0,0,0,Putative ATPase subunit of terminase (gpP-like)
PF06058,1,1,1,0,1,1,1,1,1,Dcp1-like decapping family
PF06067,0,2,1,0,5,0,1,1,1,Domain of unknown function (DUF932)
PF06068,2,2,2,2,2,2,2,2,2,TIP49 P-loop domain
PF06071,1,4,6,1,7,1,2,4,3,Protein of unknown function (DUF933)
PF06073,0,0,1,0,1,0,1,2,0,Bacterial protein of unknown function (DUF934)
PF06078,0,0,1,0,6,0,1,1,1,Bacterial protein of unknown function (DUF937)
PF06080,0,0,1,0,5,0,0,2,0,Protein of unknown function (DUF938)
PF06081,0,2,3,0,1,0,0,0,1,Aromatic acid exporter family member 1
PF06082,0,0,0,0,2,0,0,1,0,Exopolysaccharide biosynthesis protein YbjH
PF06087,2,2,2,2,2,2,2,2,2,Tyrosyl-DNA phosphodiesterase
PF06089,0,2,2,0,1,0,0,1,2,L-asparaginase II
PF06090,1,1,1,1,1,1,1,1,1,Inositol-pentakisphosphate 2-kinase
PF06093,1,1,1,1,1,1,1,1,2,Spt4/RpoE2 zinc finger
PF06094,6,5,8,4,8,3,3,6,6,"Gamma-glutamyl cyclotransferase, AIG2-like"
PF06100,0,0,0,0,2,0,0,0,0,MCRA family
PF06102,1,1,1,1,1,1,1,1,1,rRNA biogenesis protein RRP36
PF06103,0,2,1,0,0,0,0,0,2,Bacterial protein of unknown function (DUF948)
PF06108,1,1,1,1,1,1,2,2,1,Protein of unknown function (DUF952)
PF06114,0,5,6,0,10,0,2,2,7,IrrE N-terminal-like domain
PF06119,0,0,0,0,3,0,0,0,3,Nidogen-like
PF06122,0,0,2,0,1,0,1,0,0,Conjugative relaxosome accessory transposon protein
PF06123,0,0,0,0,0,0,0,1,0,Inner membrane protein CreD
PF06127,1,1,1,1,2,1,1,1,1,Protein of unknown function (DUF962)
PF06134,0,1,1,0,0,0,0,0,1,L-rhamnose isomerase (RhaA)
PF06140,2,2,1,1,0,2,1,2,2,Interferon-induced 6-16 family 
PF06144,0,1,1,0,0,0,0,0,1,"DNA polymerase III, delta subunit"
PF06146,0,0,0,0,2,0,0,1,0,Phosphate-starvation-inducible E
PF06148,1,1,1,1,1,1,1,1,1,"COG (conserved oligomeric Golgi) complex component, COG2"
PF06149,0,0,0,0,1,0,0,0,0,Protein of unknown function (DUF969)
PF06150,0,4,3,0,0,0,0,0,3,ChaB
PF06155,1,2,3,0,7,1,1,1,1,Protein of unknown function (DUF971)
PF06159,1,1,1,1,0,1,1,1,1,Protein of unknown function (DUF974)
PF06166,0,0,0,0,1,0,0,0,0,Protein of unknown function (DUF979)
PF06168,0,1,0,0,0,0,0,0,0,Protein of unknown function (DUF981)
PF06170,0,0,0,0,2,0,1,1,0,Protein of unknown function (DUF983)
PF06172,0,0,0,0,1,0,0,0,0,Cupin superfamily (DUF985)
PF06179,1,1,1,1,1,1,1,1,1,Surfeit locus protein 5 subunit 22 of Mediator complex
PF06181,0,0,0,0,1,0,0,0,0,Urate oxidase N-terminal
PF06182,0,2,0,0,0,0,0,0,2,ABC-2 family transporter protein
PF06187,0,2,1,0,2,0,0,0,0,Protein of unknown function (DUF993)
PF06197,0,0,1,0,0,0,0,0,0,Protein of unknown function (DUF998)
PF06199,0,0,1,0,1,0,1,2,0,Phage tail tube protein
PF06201,2,2,2,2,2,2,2,2,2,PITH domain
PF06202,1,3,2,1,9,1,1,2,4,"Amylo-alpha-1,6-glucosidase "
PF06206,0,0,0,0,0,0,0,0,1,CpeT/CpcT family (DUF1001)
PF06210,0,2,2,0,7,0,1,4,2,Protein of unknown function (DUF1003)
PF06212,1,1,1,1,1,1,1,1,1,GRIM-19 protein
PF06213,0,0,2,0,6,0,1,3,0,Cobalamin biosynthesis protein CobT
PF06218,1,1,1,1,1,1,1,1,1,Nitrogen permease regulator 2
PF06220,2,2,2,2,2,2,1,2,2,U1 zinc finger
PF06221,1,1,1,1,1,1,1,1,1,"Putative zinc finger motif, C2HC5-type"
PF06224,0,13,8,0,7,0,1,1,4,Winged helix DNA-binding domain
PF06226,0,0,0,0,1,0,0,0,0,Protein of unknown function (DUF1007)
PF06229,1,1,1,1,1,1,1,1,1,FRG1-like domain
PF06230,0,0,0,0,5,0,0,1,0,LpxI C-terminal domain
PF06233,0,0,0,0,2,0,0,0,0,Usg-like family
PF06240,0,0,5,0,5,0,0,1,0,Carbon monoxide dehydrogenase subunit G (CoxG)
PF06242,0,0,1,0,6,0,1,3,0,Protein of unknown function (DUF1013)
PF06243,0,1,2,0,2,0,0,0,0,Phenylacetic acid degradation B
PF06244,1,1,1,1,1,1,1,1,1,Coiled-coil domain-containing protein 124 /Oxs1
PF06245,0,1,1,0,0,0,0,0,0,Protein of unknown function (DUF1015)
PF06246,1,1,1,1,1,1,1,1,1,Isy1-like splicing family
PF06249,0,1,0,0,1,0,1,0,1,Ethanolamine utilisation protein EutQ
PF06250,0,0,0,0,1,0,0,0,1,YhcG PDDEXK nuclease domain
PF06251,0,0,0,0,2,0,0,1,0,Capsule biosynthesis GfcC
PF06252,0,0,0,0,1,0,0,0,0,Protein of unknown function (DUF1018)
PF06253,0,0,0,0,3,0,0,0,0,Trimethylamine methyltransferase (MTTB)
PF06258,0,0,1,0,7,0,0,1,0,Mitochondrial fission ELM1
PF06259,0,3,0,0,0,0,0,0,0,Alpha/beta hydrolase
PF06262,0,4,4,0,6,0,1,3,3,Zincin-like metallopeptidase
PF06267,0,1,2,0,4,0,0,0,0,Family of unknown function (DUF1028)
PF06271,0,6,4,0,4,0,0,0,2,RDD family
PF06276,0,1,0,0,1,0,0,0,0,Ferric iron reductase FhuF-like transporter
PF06283,0,10,6,0,7,0,1,2,2,Trehalose utilisation
PF06289,0,1,1,0,0,0,0,0,2,Flagellar and Swarming motility proteins
PF06293,0,0,1,0,0,0,0,0,1,Lipopolysaccharide kinase (Kdo/WaaP) family
PF06296,0,0,1,0,0,0,1,3,0,RelE toxin of RelE / RelB toxin-antitoxin system
PF06299,0,1,1,0,4,0,0,1,0,Protein of unknown function (DUF1045)
PF06304,0,2,0,0,0,0,0,0,0,Protein of unknown function (DUF1048)
PF06305,0,0,0,0,1,0,0,1,0,Lipopolysaccharide assembly protein A domain
PF06314,0,0,1,0,2,0,1,0,0,Acetoacetate decarboxylase (ADC)
PF06319,0,0,2,0,5,0,1,2,0,DNA repair protein MmcB-like
PF06320,1,1,1,1,1,1,1,1,1,GCN5-like protein 1 (GCN5L1)
PF06325,0,2,2,0,7,0,2,3,1,Ribosomal protein L11 methyltransferase (PrmA)
PF06331,1,1,1,1,1,1,1,1,1,Transcription factor TFIIH complex subunit Tfb5
PF06333,1,1,1,1,1,1,1,1,1,Mediator complex subunit 13 C-terminal domain
PF06337,1,1,1,1,1,1,1,1,1,DUSP domain
PF06342,0,0,0,0,0,0,0,0,1,Alpha/beta hydrolase of unknown function (DUF1057)
PF06347,0,2,1,0,3,0,0,2,0,Bacterial SH3 domain
PF06348,0,0,0,0,0,0,0,0,1,Protein of unknown function (DUF1059)
PF06367,1,1,1,1,1,1,1,1,1,Diaphanous FH3 Domain
PF06371,2,2,2,2,2,2,2,2,2,Diaphanous GTPase-binding Domain
PF06381,0,0,0,0,1,0,0,0,0,Protein of unknown function (DUF1073)
PF06391,1,1,1,1,1,1,1,1,1,CDK-activating kinase assembly factor MAT1
PF06395,1,1,1,1,1,1,1,1,1,CDC24 Calponin
PF06398,2,2,2,2,2,2,2,2,2,Integral peroxisomal membrane peroxin
PF06412,0,0,3,0,8,0,3,5,0,Conjugal transfer protein TraD
PF06414,0,1,2,0,3,0,1,0,1,Zeta toxin
PF06415,1,3,2,1,8,1,1,2,2,BPG-independent PGAM N-terminus (iPGM_N)
PF06417,1,1,1,1,1,1,1,1,1,Protein of unknown function (DUF1077)
PF06418,1,5,6,1,8,1,2,3,4,CTP synthase N-terminus
PF06419,1,1,1,1,1,1,1,1,1,Conserved oligomeric complex COG6
PF06420,1,1,1,1,1,1,1,1,1,Mitochondrial genome maintenance MGM101
PF06421,1,5,5,1,7,1,2,4,4,GTP-binding protein LepA C-terminus
PF06422,6,5,5,5,5,6,5,6,5,CDR ABC transporter
PF06423,1,1,1,1,1,1,1,1,1,GWT1
PF06424,1,1,1,1,1,1,1,1,1,"PRP1 splicing factor, N-terminal"
PF06426,0,0,1,0,1,0,0,0,0,"Serine acetyltransferase, N-terminal "
PF06427,1,1,1,1,1,1,1,1,1,UDP-glucose:Glycoprotein Glucosyltransferase
PF06428,2,2,2,2,2,2,2,2,2,GDP/GTP exchange factor Sec2p
PF06429,0,5,8,0,22,0,3,11,4,Flagellar basal body rod FlgEFG protein C-terminal
PF06432,1,1,1,1,1,1,1,1,1,Phosphatidylinositol N-acetylglucosaminyltransferase
PF06437,1,1,1,1,1,1,1,1,1,IMP-specific 5'-nucleotidase
PF06439,0,4,3,0,9,0,0,1,0,Domain of Unknown Function (DUF1080)
PF06441,4,4,8,3,16,4,9,9,4,Epoxide hydrolase N terminus
PF06445,0,1,1,0,0,0,0,0,1,GyrI-like small molecule binding domain
PF06452,0,0,0,0,1,0,0,0,0,Carbohydrate family 9 binding domain-like
PF06463,1,5,4,1,8,1,3,4,2,Molybdenum Cofactor Synthesis C
PF06470,4,7,6,4,5,4,4,4,7,SMC proteins Flexible Hinge Domain
PF06472,1,2,5,2,14,2,2,3,3,ABC transporter transmembrane region 2
PF06475,0,1,0,0,1,0,0,0,0,Putative glycolipid-binding
PF06479,1,1,1,1,1,1,1,1,1,Ribonuclease 2-5A
PF06480,1,1,3,1,6,1,2,3,1,FtsH Extracellular
PF06481,0,0,0,0,2,0,0,1,0,COX Aromatic Rich Motif
PF06485,0,0,0,0,0,0,0,0,1,RNA-binding protein Tab2/Atab2
PF06487,1,1,0,1,1,1,1,1,1,Sin3 associated polypeptide p18 (SAP18)
PF06500,1,0,1,1,1,0,0,1,0,Alpha/beta hydrolase of unknown function (DUF1100)
PF06505,0,0,1,0,0,0,1,1,0,Activator of aromatic catabolism
PF06508,0,0,3,0,5,0,2,2,0,Queuosine biosynthesis protein QueC
PF06514,0,0,0,0,1,0,0,0,0,Photosystem II 12 kDa extrinsic protein (PsbU)
PF06516,1,1,1,0,0,1,0,1,2,Purine nucleoside permease (NUP)
PF06527,0,0,1,0,4,0,0,0,0,TniQ
PF06532,0,0,3,0,5,0,2,2,0,Negative regulator of sigma F
PF06544,1,1,1,1,1,1,1,1,1,Protein of unknown function (DUF1115)
PF06552,0,0,0,0,0,0,0,0,1,Plant specific mitochondrial import receptor subunit TOM20
PF06559,0,0,0,0,1,0,0,0,0,2'-deoxycytidine 5'-triphosphate deaminase (DCD)
PF06560,0,0,1,0,0,0,0,0,2,Glucose-6-phosphate isomerase (GPI)
PF06564,0,12,14,0,27,0,3,6,10,Cellulose biosynthesis protein BcsQ
PF06568,0,0,1,0,9,0,1,0,0,Domain of unknown function (DUF1127)
PF06574,0,4,4,0,6,0,1,3,2,FAD synthetase
PF06577,0,0,1,0,1,0,1,2,0,Protein of unknown function (DUF1134)
PF06580,0,1,1,0,2,0,1,3,0,Histidine kinase
PF06586,0,0,2,0,2,0,1,0,0,TraK protein
PF06594,0,0,0,0,1,0,0,0,0,Haemolysin-type calcium binding protein related domain
PF06602,1,1,1,1,1,1,1,1,1,Myotubularin-like phosphatase domain
PF06609,9,7,9,6,7,2,2,4,7,Fungal trichothecene efflux pump (TRI12)
PF06610,0,0,0,0,1,0,0,0,0,L-alanine exporter
PF06616,0,0,0,0,1,0,1,0,0,BsuBI/PstI restriction endonuclease domain
PF06620,0,0,0,0,4,0,0,1,0,Protein of unknown function (DUF1150)
PF06626,0,1,0,0,0,0,0,0,0,Protein of unknown function (DUF1152)
PF06627,0,0,1,0,2,0,0,3,0,Protein of unknown function (DUF1153)
PF06628,2,6,3,2,4,2,2,1,5,Catalase-related immune-responsive
PF06629,0,0,2,0,3,0,2,5,0,MltA-interacting protein MipA
PF06634,0,0,1,0,0,0,0,0,0,Protein of unknown function (DUF1156)
PF06635,0,0,1,0,3,0,1,0,0,Nodulation protein NolV
PF06644,1,1,1,1,1,1,1,1,1,ATP11 protein
PF06645,1,1,1,1,1,1,1,1,2,Microsomal signal peptidase 12 kDa subunit (SPC12)
PF06650,1,1,1,1,1,1,1,1,1,SHR-binding domain of vacuolar-sorting associated protein 13
PF06657,1,1,1,1,1,1,1,1,1,Centrosome microtubule-binding domain of Cep57
PF06658,1,1,1,1,1,1,1,1,1,Protein of unknown function (DUF1168)
PF06662,0,1,1,0,0,0,0,0,0,D-glucuronyl C5-epimerase C-terminus
PF06667,0,0,0,0,1,0,1,1,0,Phage shock protein B
PF06674,0,0,1,0,2,0,0,2,0,Protein of unknown function (DUF1176)
PF06675,0,0,0,0,1,0,0,0,0,Protein of unknown function (DUF1177)
PF06676,0,0,1,0,5,0,1,2,0,Protein of unknown function (DUF1178)
PF06682,1,1,1,1,1,1,1,1,1,SOCE-associated regulatory factor of calcium homoeostasis
PF06687,5,5,5,5,4,6,6,6,5,SUR7/PalI family
PF06689,0,4,5,0,6,0,1,3,3,ClpX C4-type zinc finger
PF06693,0,0,1,0,3,0,1,2,0,Protein of unknown function (DUF1190)
PF06698,0,0,1,0,2,0,1,1,0,Protein of unknown function (DUF1192)
PF06699,1,1,1,1,1,1,1,1,1,GPI biosynthesis protein family Pig-F
PF06703,1,1,1,1,1,1,1,1,1,Microsomal signal peptidase 25 kDa subunit (SPC25)
PF06707,0,0,1,0,17,0,0,3,0,Protein of unknown function (DUF1194)
PF06718,0,1,0,1,4,0,0,0,0,Protein of unknown function (DUF1203)
PF06719,0,3,6,0,16,0,5,8,3,AraC-type transcriptional regulator N-terminus
PF06722,0,1,1,0,0,0,0,0,0,Protein of unknown function (DUF1205)
PF06723,5,13,16,5,21,5,8,14,9,MreB/Mbl protein
PF06724,0,3,1,0,3,0,0,2,2,Domain of Unknown Function (DUF1206)
PF06725,0,0,2,0,3,0,1,3,0,3D domain
PF06726,0,1,1,0,1,1,1,1,1,Bladder cancer-related protein BC10
PF06728,2,2,2,2,2,2,2,2,2,GPI transamidase subunit PIG-U
PF06732,1,1,1,1,1,1,1,1,1,Pescadillo N-terminus
PF06733,2,2,2,2,2,2,2,2,2,DEAD_2
PF06736,0,0,0,0,2,0,2,1,0,Protein of unknown function (DUF1211)
PF06737,0,4,2,0,0,0,0,0,4,Transglycosylase-like domain
PF06738,1,2,1,1,1,1,1,1,1,Putative threonine/serine exporter
PF06741,1,1,1,1,1,1,1,1,1,LsmAD domain
PF06744,0,0,0,0,2,0,0,0,0,Type VI secretion protein IcmF C-terminal
PF06745,0,4,3,0,12,0,2,7,2,KaiC
PF06747,0,0,0,0,0,1,0,0,0,CHCH domain
PF06748,0,0,0,0,6,0,0,1,0,Protein of unknown function (DUF1217)
PF06750,0,1,3,0,1,0,1,1,1,Bacterial Peptidase A24 N-terminal domain
PF06751,0,0,0,0,1,0,0,0,0,Ethanolamine ammonia lyase large subunit (EutB)
PF06754,0,1,1,0,3,0,0,1,0,Phosphonate metabolism protein PhnG
PF06761,0,0,0,0,2,0,0,0,0,Intracellular multiplication and human macrophage-killing
PF06764,0,0,2,0,3,0,2,2,0,Protein of unknown function (DUF1223)
PF06769,0,0,0,0,1,0,0,3,2,YoeB-like toxin of bacterial type II toxin-antitoxin system
PF06772,0,6,2,0,4,1,1,1,1,Bacterial low temperature requirement A protein (LtrA)
PF06775,1,1,1,1,1,1,1,1,1,Putative adipose-regulatory protein (Seipin)
PF06776,0,0,0,0,1,0,0,0,0,Invasion associated locus B (IalB) protein
PF06777,0,1,1,0,1,1,1,0,0,Helical and beta-bridge domain
PF06778,0,4,4,0,0,0,1,0,3,Chlorite dismutase
PF06779,0,5,2,0,7,1,1,0,2,Uncharacterised MFS-type transporter YbfB
PF06792,1,3,1,1,1,0,0,1,0,Uncharacterised protein family (UPF0261)
PF06793,0,0,1,0,4,0,1,3,0,Uncharacterised protein family (UPF0262)
PF06798,0,0,1,0,3,0,0,0,0,PrkA serine protein kinase C-terminal domain
PF06803,0,2,3,0,5,0,0,1,3,Protein of unknown function (DUF1232)
PF06807,1,1,1,1,1,1,1,1,1,Pre-mRNA cleavage complex II protein Clp1
PF06808,0,2,8,0,36,0,0,3,1,"Tripartite ATP-independent periplasmic transporter, DctM component"
PF06812,0,0,0,0,3,0,0,0,0,"ImpA, N-terminal, type VI secretion system"
PF06813,2,2,1,2,2,2,2,2,2,Nodulin-like
PF06814,1,1,1,1,1,1,1,1,1,Lung seven transmembrane receptor
PF06821,0,0,2,0,3,0,1,0,0,Serine hydrolase
PF06824,1,3,1,1,3,1,1,1,1,Metal-independent alpha-mannosidase (GH125)
PF06825,1,1,1,1,1,1,1,1,1,Heat shock factor binding protein 1
PF06826,0,0,0,0,2,0,0,1,0,Predicted Permease Membrane Region
PF06827,0,4,3,0,2,0,0,1,4,Zinc finger found in FPG and IleRS
PF06831,1,16,11,1,9,1,2,4,8,Formamidopyrimidine-DNA glycosylase H2TH domain
PF06832,0,0,0,0,3,0,0,0,1,Penicillin-Binding Protein C-terminus Family
PF06833,0,2,1,0,0,0,0,0,0,Malonate decarboxylase gamma subunit (MdcE)
PF06834,0,0,2,0,1,0,1,0,0,TraU protein
PF06835,0,0,1,0,3,0,0,2,1,"Lipopolysaccharide-assembly, LptC-related"
PF06838,0,0,0,0,0,0,0,0,1,Methionine gamma-lyase 
PF06839,2,2,1,2,1,1,0,2,2,GRF zinc finger
PF06842,0,0,0,0,0,1,0,0,0,Protein of unknown function (DUF1242)
PF06844,0,0,0,0,4,0,0,1,0,Protein of unknown function (DUF1244)
PF06848,0,1,1,0,0,0,0,0,0,Disaggregatase related repeat
PF06850,0,0,2,0,4,0,1,3,0,PHB de-polymerase C-terminus
PF06857,0,0,1,0,0,0,0,0,0,Malonate decarboxylase delta subunit (MdcD)
PF06858,1,1,1,1,1,1,1,1,1,Nucleolar GTP-binding protein 1 (NOG1)
PF06862,1,1,1,1,1,1,1,1,1,"Utp25, U3 small nucleolar RNA-associated SSU processome protein 25"
PF06868,0,0,0,0,0,0,0,0,1,Protein of unknown function (DUF1257)
PF06870,1,1,1,1,1,1,1,1,1,A49-like RNA polymerase I associated factor 
PF06881,1,1,1,1,1,1,1,1,1,RNA polymerase II transcription factor SIII (Elongin) subunit A
PF06883,1,1,1,1,1,1,1,1,1,"RNA polymerase I, Rpa2 specific domain "
